time,roll,pitch,yaw,wx,wy,wz,ax,ay,az
0.00,10.0,20.0,30.0,0.5,1.0,1.5,0.1,0.2,9.8
0.01,10.1,20.1,30.1,0.5,1.0,1.5,0.1,0.2,9.8
0.02,10.2,20.2,30.2,0.6,1.1,1.6,0.1,0.2,9.8
0.03,10.3,20.3,30.3,0.6,1.1,1.6,0.1,0.2,9.8
0.04,10.4,20.4,30.4,0.7,1.2,1.7,0.1,0.2,9.8
0.05,10.5,20.5,30.5,0.7,1.2,1.7,0.1,0.2,9.8
0.06,10.6,20.6,30.6,0.8,1.3,1.8,0.1,0.2,9.8
0.07,10.7,20.7,30.7,0.8,1.3,1.8,0.1,0.2,9.8
0.08,10.8,20.8,30.8,0.9,1.4,1.9,0.1,0.2,9.8
0.09,10.9,20.9,30.9,0.9,1.4,1.9,0.1,0.2,9.8
0.10,11.0,21.0,31.0,1.0,1.5,2.0,0.1,0.2,9.8
