time,roll,pitch,yaw,wx,wy,wz,ax,ay,az
0.00,27.270608,-0.013371,25.618622,1.36353,-0.000669,1.280931,5.255637,-5.619444,6.073724
0.01,27.422561,0.027345,25.691096,1.36353,-0.000669,1.280931,5.255637,-5.619444,6.073724
0.02,27.574513,0.068061,25.763571,1.515483,0.040047,1.353406,5.255637,-5.619444,6.073724
0.03,27.726466,0.108776,25.836045,1.515483,0.040047,1.353406,5.255637,-5.619444,6.073724
0.04,27.878419,0.149492,25.90852,1.667436,0.080763,1.42588,5.255637,-5.619444,6.073724
0.05,28.030372,0.190207,25.980994,1.667436,0.080763,1.42588,5.255637,-5.619444,6.073724
0.06,28.182325,0.230923,26.053469,1.819389,0.121478,1.498355,5.255637,-5.619444,6.073724
0.07,28.334278,0.271639,26.125943,1.819389,0.121478,1.498355,5.255637,-5.619444,6.073724
0.08,28.486231,0.312354,26.198418,1.971342,0.162194,1.570829,5.255637,-5.619444,6.073724
0.09,28.638184,0.35307,26.270892,1.971342,0.162194,1.570829,5.255637,-5.619444,6.073724
0.10,28.790137,0.393786,26.343367,2.123295,0.20291,1.643304,5.255637,-5.619444,6.073724
